item_key,item_name,description,unit_price,man_country,supplier,stock_quantity,unit
I00248,Charmin Ultra Bath Tissue,Kitchen Supplies,26,poland,CHROMADURLIN S.A.S,24,rolls
I00249,Clorox Bleach Large Jugs,Kitchen Supplies,16,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,3,pack
I00250,Clorox Disinfecting Wipes ,Kitchen Supplies,19.5,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,5,pack
I00251,"Dawn Ultra Dish Detergent, Original Scent ",Kitchen Supplies,13,Lithuania,BIGSO AB,90,oz
I00252,Dial Anti-bacterial  Foam 7.5oz,Kitchen Supplies,11,India,Indo Count Industries Ltd,4,ct
I00253,ForceFlex Trash Bags 13 Gal ,Kitchen Supplies,21,India,Indo Count Industries Ltd,120,bags
I00254,Hand Sanitizer Refill Pump,Kitchen Supplies,13,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,67,oz
I00255,Kleenex Tissue Rectangle Boxes 160/box,Kitchen Supplies,20,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,12,pack
I00256,Kleenex Tissue Square Boxes 75/box,Kitchen Supplies,20,Netherlands,Bolsius Boxmeer,12,pack
I00257,Large Trash Bags Black 33 gal,Kitchen Supplies,21,Bangladesh,DENIMACH LTD,90,ct
I00258,Lysol Disinfectant Spray 19 oz,Kitchen Supplies,21,Netherlands,Bolsius Boxmeer,4,pk
I00259,Lysol Wipes 100 ct,Kitchen Supplies,26,India,Indo Count Industries Ltd,6,pack
I00260,Napkins Square Lunch,Kitchen Supplies,15,China,"CHERRY GROUP CO.,LTD",1200,ct
I00261,POM 2 ply paper towels,Kitchen Supplies,33,Germany,Friedola 1888 GmbH,30,ct
I00262,Strong Everyday Napkins,Kitchen Supplies,14,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,660,ct
I00263,Advil 2 pill packets,Medicine,14,Germany,Friedola 1888 GmbH,50,Ct
I00264,Tylenol Extra Strength 2 pill packets,Medicine,15,Netherlands,Bolsius Boxmeer,50,Ct
